[2025-07-11 00:00:31,157] INFO [QuorumController id=1] Replaying ProducerIdsRecord ProducerIdsRecord(brokerId=1, brokerEpoch=7, nextProducerId=1000) (org.apache.kafka.controller.ProducerIdControlManager)
[2025-07-11 00:03:24,092] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-40 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,093] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-41 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,093] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-42 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,093] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-43 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,094] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-44 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,094] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-45 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,095] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-46 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,095] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-47 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,095] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-48 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,096] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-49 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
